"TIME","GEO","S_ADJ","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2009M12","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2009M12","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2009M12","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2009M12","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.4",""
"2009M12","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2009M12","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.0",""
"2009M12","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2009M12","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2009M12","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"2009M12","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.1",""
"2009M12","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2009M12","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"2010M01","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M01","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2010M01","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.9",""
"2010M01","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2010M01","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2010M01","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M01","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.4",""
"2010M01","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.2",""
"2010M01","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.1",""
"2010M01","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","19.0",""
"2010M01","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2010M01","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.5",""
"2010M01","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M01","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"2010M01","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.4",""
"2010M01","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.7",""
"2010M01","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6",""
"2010M01","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.0",""
"2010M01","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2010M01","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M01","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"2010M01","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M01","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2010M01","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2010M01","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"2010M01","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.7",""
"2010M01","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2010M01","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.1",""
"2010M01","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2010M01","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M01","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.4",""
"2010M01","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.1",""
"2010M01","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2010M01","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M02","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2010M02","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M02","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2010M02","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2010M02","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M02","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M02","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.3",""
"2010M02","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.0",""
"2010M02","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.4",""
"2010M02","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","19.2",""
"2010M02","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2010M02","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.7",""
"2010M02","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M02","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.5",""
"2010M02","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.3",""
"2010M02","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.5",""
"2010M02","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2010M02","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.2",""
"2010M02","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2010M02","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M02","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M02","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2010M02","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.5",""
"2010M02","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2010M02","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2010M02","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.9",""
"2010M02","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2010M02","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.9",""
"2010M02","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.0",""
"2010M02","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2010M02","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2010M02","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.9",""
"2010M02","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2010M02","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M03","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2010M03","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2010M03","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.8",""
"2010M03","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2010M03","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2010M03","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2010M03","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.5",""
"2010M03","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.2",""
"2010M03","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.6",""
"2010M03","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","19.6",""
"2010M03","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2010M03","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.9",""
"2010M03","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M03","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2010M03","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.4",""
"2010M03","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.8",""
"2010M03","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6",""
"2010M03","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.4",""
"2010M03","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2010M03","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M03","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2010M03","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.0",""
"2010M03","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.6",""
"2010M03","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2010M03","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2010M03","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.9",""
"2010M03","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M03","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"2010M03","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.9",""
"2010M03","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2010M03","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2010M03","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.9",""
"2010M03","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2010M03","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M04","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2010M04","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M04","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.0",""
"2010M04","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2010M04","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2010M04","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2010M04","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.9",""
"2010M04","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.6",""
"2010M04","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.9",""
"2010M04","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","19.9",""
"2010M04","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2010M04","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2010M04","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2010M04","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2010M04","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.6",""
"2010M04","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.1",""
"2010M04","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5",""
"2010M04","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2010M04","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2010M04","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M04","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M04","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2010M04","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.9",""
"2010M04","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2010M04","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2010M04","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.7",""
"2010M04","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2010M04","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2010M04","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2010M04","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2010M04","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"2010M04","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.5",""
"2010M04","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.9",""
"2010M04","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M05","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2010M05","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M05","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.1",""
"2010M05","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2010M05","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2010M05","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2010M05","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.4",""
"2010M05","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.8",""
"2010M05","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.2",""
"2010M05","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.1",""
"2010M05","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2010M05","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.5",""
"2010M05","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M05","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2010M05","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.4",""
"2010M05","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.2",""
"2010M05","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2010M05","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2010M05","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2010M05","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M05","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.9",""
"2010M05","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.7",""
"2010M05","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.1",""
"2010M05","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2010M05","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M05","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.6",""
"2010M05","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2010M05","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.8",""
"2010M05","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.8",""
"2010M05","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2010M05","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"2010M05","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2010M05","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M05","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.1",""
"2010M06","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M06","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.5",""
"2010M06","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.1",""
"2010M06","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2010M06","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2010M06","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2010M06","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","17.7",""
"2010M06","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.7",""
"2010M06","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.5",""
"2010M06","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.0",""
"2010M06","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.3",""
"2010M06","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.8",""
"2010M06","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.3",""
"2010M06","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.7",""
"2010M06","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.0",""
"2010M06","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.3",""
"2010M06","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.5",""
"2010M06","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.3",""
"2010M06","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.4",""
"2010M06","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M06","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.6",""
"2010M06","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M06","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.4",""
"2010M06","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.0",""
"2010M06","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M06","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.5",""
"2010M06","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2010M06","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2010M06","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2010M06","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.6",""
"2010M06","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.7",""
"2010M06","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.0",""
"2010M06","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2010M06","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.2",""
"2010M07","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M07","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.6",""
"2010M07","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.0",""
"2010M07","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.2",""
"2010M07","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M07","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2010M07","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","16.5",""
"2010M07","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.6",""
"2010M07","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.7",""
"2010M07","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.0",""
"2010M07","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.2",""
"2010M07","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.9",""
"2010M07","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.2",""
"2010M07","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.2",""
"2010M07","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","19.5",""
"2010M07","Lithuania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","18.3",""
"2010M07","Luxembourg","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.4",""
"2010M07","Hungary","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","11.2",""
"2010M07","Malta","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.6",""
"2010M07","Netherlands","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M07","Austria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","4.7",""
"2010M07","Poland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.5",""
"2010M07","Portugal","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.3",""
"2010M07","Romania","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.9",""
"2010M07","Slovenia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.3",""
"2010M07","Slovakia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","14.5",""
"2010M07","Finland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2010M07","Sweden","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.7",""
"2010M07","United Kingdom","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.7",""
"2010M07","Iceland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.5",""
"2010M07","Norway","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","3.6",""
"2010M07","Turkey","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.8",""
"2010M07","United States","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.4",""
"2010M07","Japan","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","5.0",""
"2010M08","European Union (28 countries)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.6",""
"2010M08","Belgium","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.4",""
"2010M08","Bulgaria","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","10.2",""
"2010M08","Czech Republic","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.1",""
"2010M08","Denmark","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","7.4",""
"2010M08","Germany (until 1990 former territory of the FRG)","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.8",""
"2010M08","Estonia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","15.9",""
"2010M08","Ireland","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","13.9",""
"2010M08","Greece","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.9",""
"2010M08","Spain","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","20.1",""
"2010M08","France","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","9.2",""
"2010M08","Croatia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","12.1",""
"2010M08","Italy","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","8.1",""
"2010M08","Cyprus","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","6.1",""
"2010M08","Latvia","Seasonally adjusted data, not calendar adjusted data","Total","Percentage of active population","Total","19.2",""
